sex,age,price,frequency,people,meat,noodles,seasoned rice,chinese,cup rice,bunsick,rice,labeled store,
0,0,1,1,0,0,0,0,0,1,0,1,9,
1,0,1,2,1,0,1,0,1,0,0,1,31,
0,0,1,2,1,0,1,0,0,0,0,1,30,
0,1,0,2,1,0,0,0,0,1,0,0,28,
1,0,0,2,1,0,0,1,1,1,0,1,41,
0,1,0,0,1,0,0,0,0,0,0,1,8,
1,1,1,1,1,0,0,0,0,1,0,1,23,
1,3,0,2,1,1,0,0,0,0,0,0,44,
0,1,1,2,1,1,1,0,1,1,1,1,8,
1,0,0,1,1,1,1,1,0,0,1,1,12,
1,0,1,2,1,0,0,0,0,0,0,1,26,
0,1,0,2,0,0,0,1,0,0,0,0,2,
0,1,1,2,1,1,1,1,1,1,1,1,25,
0,1,1,1,1,1,0,1,0,1,1,0,24,
1,0,0,1,0,0,0,0,0,0,0,1,35,
0,1,1,1,1,1,0,0,1,0,1,1,13,
0,1,1,2,0,1,0,0,0,0,0,0,24,
1,0,2,1,1,0,0,1,0,0,0,1,39,
0,0,0,1,1,1,1,1,1,0,1,1,26,
1,0,2,2,1,1,0,0,0,0,1,1,24,
0,0,1,2,1,1,1,1,1,0,1,1,21,
0,0,1,1,1,1,1,1,1,1,1,1,3,
0,1,0,1,1,0,1,1,0,0,0,1,24,
0,0,1,1,1,0,1,1,1,1,1,0,24,
0,0,1,1,1,0,0,0,0,0,0,1,35,
0,1,1,1,0,0,0,0,0,0,0,1,20,
0,0,1,2,0,1,1,0,0,1,0,0,37,
0,1,2,2,1,1,0,1,0,0,0,1,5,
0,0,2,2,1,1,0,0,0,0,0,1,43,
0,0,1,0,0,1,1,1,1,1,1,1,40,
0,1,1,1,1,0,0,0,0,0,0,1,23,
0,2,2,2,1,1,0,1,1,0,0,1,33,
0,1,2,1,0,1,0,1,1,1,0,0,12,
1,0,0,2,1,0,0,0,0,0,0,1,35,
1,0,2,3,1,1,1,1,1,1,1,1,18,
0,1,0,1,1,0,0,0,1,0,1,1,39,
0,1,1,1,1,0,0,0,0,0,0,1,44,
0,0,0,2,1,1,0,1,0,0,1,0,18,
1,0,1,2,1,0,0,0,0,0,0,1,16,
0,0,0,2,0,0,0,0,0,0,0,1,43,
0,1,0,2,0,1,1,1,1,1,1,1,40,
1,0,2,1,0,1,1,1,0,0,1,1,25,
1,0,1,1,1,0,0,0,0,0,0,1,30,
0,0,0,0,0,1,0,0,0,0,0,0,40,
0,0,1,2,1,0,1,0,1,1,0,1,35,
0,0,0,2,1,0,0,1,0,0,0,0,35,
1,0,1,1,1,0,0,0,0,1,1,1,39,
